U 29 | F 059392 | FPS 0662 | D 90 | rR:μσmM 0.72 0.21 0.15 0.91 | F:μσmM 99.4 74.6 31.0 305.0 | H 1.746 | V 0.306 | pL -0.061 | vL 0.014 | ∇ 0.127
U 29 | F 059392 | FPS 0666 | D 90 | rR:μσmM 0.08 0.21 0.00 0.69 | F:μσmM 300.6 62.5 111.0 324.0 | H 1.932 | V 0.020 | pL -0.009 | vL 0.001 | ∇ 0.026
U 30 | F 061440 | FPS 0674 | D 93 | rR:μσmM 0.78 0.18 0.00 0.93 | F:μσmM 77.3 60.9 24.0 324.0 | H 1.688 | V 0.409 | pL -0.077 | vL 0.010 | ∇ 0.104
Status saved
U 30 | F 061440 | FPS 0666 | D 93 | rR:μσmM 0.11 0.21 0.00 0.69 | F:μσmM 293.8 63.4 111.0 324.0 | H 1.927 | V 0.026 | pL 0.001 | vL 0.001 | ∇ 0.026
Status saved
U 31 | F 063488 | FPS 0681 | D 96 | rR:μσmM 0.85 0.12 0.25 0.94 | F:μσmM 55.3 44.8 22.0 270.0 | H 1.620 | V 0.491 | pL -0.072 | vL 0.012 | ∇ 0.128
U 31 | F 063488 | FPS 0670 | D 96 | rR:μσmM 0.06 0.14 0.00 0.48 | F:μσmM 308.6 37.8 186.0 324.0 | H 1.939 | V 0.026 | pL -0.000 | vL 0.000 | ∇ 0.018
U 32 | F 065536 | FPS 0662 | D 99 | rR:μσmM 0.82 0.11 0.47 0.93 | F:μσmM 63.6 40.7 25.0 191.0 | H 1.624 | V 0.534 | pL -0.027 | vL 0.008 | ∇ 0.094
U 32 | F 065536 | FPS 0667 | D 99 | rR:μσmM 0.06 0.14 0.00 0.48 | F:μσmM 308.6 37.8 186.0 324.0 | H 1.930 | V 0.023 | pL 0.004 | vL 0.000 | ∇ 0.007
U 33 | F 067584 | FPS 0681 | D 102 | rR:μσmM 0.88 0.07 0.63 0.94 | F:μσmM 44.1 24.3 20.0 134.0 | H 1.505 | V 0.627 | pL -0.051 | vL 0.007 | ∇ 0.083
U 33 | F 067584 | FPS 0668 | D 103 | rR:μσmM 0.06 0.14 0.00 0.48 | F:μσmM 308.4 37.0 186.0 324.0 | H 1.931 | V 0.022 | pL 0.001 | vL 0.000 | ∇ 0.014
U 34 | F 069632 | FPS 0680 | D 105 | rR:μσmM 0.89 0.07 0.59 0.95 | F:μσmM 39.8 26.2 19.0 146.0 | H 1.457 | V 0.666 | pL -0.045 | vL 0.007 | ∇ 0.086
U 34 | F 069632 | FPS 0666 | D 106 | rR:μσmM 0.08 0.21 0.00 0.82 | F:μσmM 300.8 64.1 64.0 324.0 | H 1.934 | V 0.022 | pL -0.004 | vL 0.002 | ∇ 0.028
U 35 | F 071680 | FPS 0684 | D 108 | rR:μσmM 0.91 0.04 0.69 0.95 | F:μσmM 33.7 16.1 18.0 110.0 | H 1.442 | V 0.713 | pL -0.042 | vL 0.004 | ∇ 0.102
U 35 | F 071680 | FPS 0669 | D 109 | rR:μσmM 0.11 0.24 0.00 0.82 | F:μσmM 292.5 74.1 64.0 324.0 | H 1.934 | V 0.019 | pL -0.002 | vL 0.001 | ∇ 0.015
U 36 | F 073728 | FPS 0680 | D 111 | rR:μσmM 0.91 0.04 0.72 0.96 | F:μσmM 31.6 16.0 15.0 101.0 | H 1.382 | V 0.727 | pL -0.030 | vL 0.003 | ∇ 0.067
U 36 | F 073728 | FPS 0667 | D 112 | rR:μσmM 0.17 0.27 0.00 0.82 | F:μσmM 274.6 81.8 64.0 324.0 | H 1.931 | V 0.024 | pL -0.004 | vL 0.001 | ∇ 0.026
U 37 | F 075776 | FPS 0683 | D 115 | rR:μσmM 0.92 0.03 0.83 0.95 | F:μσmM 29.7 9.2 17.0 60.0 | H 1.370 | V 0.758 | pL -0.020 | vL 0.002 | ∇ 0.058
U 37 | F 075776 | FPS 0670 | D 115 | rR:μσmM 0.07 0.17 0.00 0.57 | F:μσmM 305.2 48.1 153.0 324.0 | H 1.919 | V 0.034 | pL -0.008 | vL 0.002 | ∇ 0.031
U 38 | F 077824 | FPS 0682 | D 118 | rR:μσmM 0.91 0.04 0.75 0.95 | F:μσmM 31.1 13.9 17.0 89.0 | H 1.366 | V 0.774 | pL -0.011 | vL 0.002 | ∇ 0.041
U 38 | F 077824 | FPS 0669 | D 118 | rR:μσmM 0.09 0.16 0.00 0.55 | F:μσmM 302.1 43.9 161.0 324.0 | H 1.911 | V 0.041 | pL 0.002 | vL 0.001 | ∇ 0.031
U 39 | F 079872 | FPS 0680 | D 121 | rR:μσmM 0.92 0.02 0.86 0.95 | F:μσmM 27.2 7.0 18.0 51.0 | H 1.343 | V 0.784 | pL -0.014 | vL 0.002 | ∇ 0.032
U 39 | F 079872 | FPS 0662 | D 122 | rR:μσmM 0.15 0.22 0.00 0.72 | F:μσmM 284.1 64.8 101.0 324.0 | H 1.923 | V 0.052 | pL -0.001 | vL 0.002 | ∇ 0.040
U 40 | F 081920 | FPS 0679 | D 124 | rR:μσmM 0.92 0.03 0.78 0.96 | F:μσmM 29.6 11.2 16.0 79.0 | H 1.383 | V 0.784 | pL 0.000 | vL 0.002 | ∇ 0.035
Status saved
U 40 | F 081920 | FPS 0662 | D 125 | rR:μσmM 0.10 0.19 0.00 0.72 | F:μσmM 300.9 55.1 101.0 324.0 | H 1.921 | V 0.033 | pL 0.005 | vL 0.000 | ∇ 0.021
Status saved
U 41 | F 083968 | FPS 0683 | D 127 | rR:μσmM 0.92 0.03 0.82 0.95 | F:μσmM 29.8 10.2 17.0 66.0 | H 1.421 | V 0.782 | pL 0.006 | vL 0.002 | ∇ 0.042
U 41 | F 083968 | FPS 0664 | D 128 | rR:μσmM 0.17 0.22 0.00 0.62 | F:μσmM 276.9 63.9 136.0 324.0 | H 1.883 | V 0.048 | pL -0.012 | vL 0.002 | ∇ 0.064
U 42 | F 086016 | FPS 0682 | D 130 | rR:μσmM 0.92 0.03 0.74 0.96 | F:μσmM 29.2 11.1 14.0 93.0 | H 1.394 | V 0.792 | pL 0.001 | vL 0.001 | ∇ 0.028
U 42 | F 086016 | FPS 0669 | D 131 | rR:μσmM 0.36 0.27 0.00 0.81 | F:μσmM 220.8 83.0 69.0 324.0 | H 1.893 | V 0.054 | pL -0.023 | vL 0.003 | ∇ 0.045
U 43 | F 088064 | FPS 0682 | D 133 | rR:μσmM 0.91 0.03 0.80 0.95 | F:μσmM 32.8 11.2 17.0 72.0 | H 1.481 | V 0.776 | pL 0.014 | vL 0.002 | ∇ 0.064
U 43 | F 088064 | FPS 0659 | D 134 | rR:μσmM 0.49 0.28 0.00 0.88 | F:μσmM 177.6 94.4 44.0 324.0 | H 1.861 | V 0.103 | pL -0.032 | vL 0.007 | ∇ 0.065
U 44 | F 090112 | FPS 0681 | D 136 | rR:μσmM 0.91 0.03 0.82 0.95 | F:μσmM 33.1 9.7 17.0 66.0 | H 1.482 | V 0.757 | pL 0.004 | vL 0.002 | ∇ 0.035
U 44 | F 090112 | FPS 0664 | D 137 | rR:μσmM 0.44 0.32 0.00 0.88 | F:μσmM 192.3 103.3 44.0 324.0 | H 1.817 | V 0.135 | pL -0.019 | vL 0.005 | ∇ 0.073
U 45 | F 092160 | FPS 0673 | D 139 | rR:μσmM 0.91 0.03 0.78 0.95 | F:μσmM 31.2 12.0 17.0 78.0 | H 1.409 | V 0.764 | pL -0.013 | vL 0.002 | ∇ 0.035
U 45 | F 092160 | FPS 0669 | D 140 | rR:μσmM 0.68 0.20 0.13 0.92 | F:μσmM 115.3 71.6 30.0 314.0 | H 1.762 | V 0.207 | pL -0.063 | vL 0.012 | ∇ 0.166
U 46 | F 094208 | FPS 0678 | D 142 | rR:μσmM 0.92 0.03 0.76 0.95 | F:μσmM 30.2 10.0 17.0 85.0 | H 1.511 | V 0.775 | pL -0.005 | vL 0.001 | ∇ 0.033
U 46 | F 094208 | FPS 0668 | D 144 | rR:μσmM 0.74 0.16 0.16 0.91 | F:μσmM 94.8 57.1 33.0 303.0 | H 1.744 | V 0.271 | pL -0.084 | vL 0.012 | ∇ 0.094
U 47 | F 096256 | FPS 0683 | D 145 | rR:μσmM 0.91 0.03 0.81 0.95 | F:μσmM 31.5 10.0 18.0 70.0 | H 1.460 | V 0.769 | pL 0.008 | vL 0.002 | ∇ 0.032
U 47 | F 096256 | FPS 0670 | D 147 | rR:μσmM 0.82 0.13 0.38 0.93 | F:μσmM 66.6 48.1 24.0 222.0 | H 1.645 | V 0.384 | pL -0.114 | vL 0.014 | ∇ 0.160
U 48 | F 098304 | FPS 0677 | D 149 | rR:μσmM 0.90 0.04 0.72 0.94 | F:μσmM 35.1 14.8 20.0 102.0 | H 1.521 | V 0.755 | pL 0.005 | vL 0.002 | ∇ 0.032
U 48 | F 098304 | FPS 0668 | D 150 | rR:μσmM 0.86 0.11 0.45 0.95 | F:μσmM 50.1 40.4 19.0 199.0 | H 1.517 | V 0.501 | pL -0.102 | vL 0.013 | ∇ 0.116
U 49 | F 100352 | FPS 0680 | D 152 | rR:μσmM 0.90 0.04 0.77 0.95 | F:μσmM 34.6 12.9 17.0 81.0 | H 1.513 | V 0.752 | pL 0.006 | vL 0.002 | ∇ 0.034
U 49 | F 100352 | FPS 0671 | D 153 | rR:μσmM 0.89 0.08 0.46 0.96 | F:μσmM 38.9 27.6 15.0 195.0 | H 1.386 | V 0.659 | pL -0.109 | vL 0.009 | ∇ 0.120
U 50 | F 102400 | FPS 0683 | D 155 | rR:μσmM 0.90 0.03 0.79 0.95 | F:μσmM 34.6 12.2 17.0 77.0 | H 1.525 | V 0.751 | pL -0.000 | vL 0.002 | ∇ 0.041
Status saved
U 50 | F 102400 | FPS 0671 | D 156 | rR:μσmM 0.90 0.05 0.71 0.96 | F:μσmM 35.4 17.8 16.0 105.0 | H 1.342 | V 0.701 | pL -0.043 | vL 0.006 | ∇ 0.053
Status saved
U 51 | F 104448 | FPS 0680 | D 158 | rR:μσmM 0.90 0.04 0.73 0.95 | F:μσmM 35.7 14.0 17.0 98.0 | H 1.491 | V 0.731 | pL -0.001 | vL 0.002 | ∇ 0.039
U 51 | F 104448 | FPS 0676 | D 159 | rR:μσmM 0.92 0.03 0.84 0.95 | F:μσmM 28.0 9.7 17.0 59.0 | H 1.284 | V 0.766 | pL -0.041 | vL 0.003 | ∇ 0.055
